"# of bonus payments","# Bonuszahlungen"
"# of Leads","# Leads"
"# of Leads (Cancelled)","# Leads (Storniert)"
"# of Leads (Confirmed)","# Leads (Bestätigt)"
"# of Leads (Open)","# Leads (Offen)"
"# of Sales","# Verkäufe"
"# of Sales (Cancelled)","# Verkäufe (Stoniert)"
"# of Sales (Confirmed)","# Verkäufe (Bestätigt)"
"# of Sales (Open)","# Verkäufe (Offen)"
"-- Please Select --","-- Bitte wählen Sie --"
"<div id=""creative-system-config"">creativestyle Extensions</div>","<div id=""creative-system-config"">creativestyle Extensions</div>"
"Action","Aktion"
"Activate/deactivate column titles in the feed","Spaltentitel im Feed aktivieren und deaktivieren"
"Activate the export of products only for active products","Nur aktive Produkte exportieren."
"Activate the export of products only for products which can be ordered.","Nur bestellbare Produkte exportieren."
"Active","Aktiv"
"Add new","Neu hinzufügen"
"Add New","Neu hinzufügen"
"Advertising medium","Werbemedium"
"affilinet","affilinet"
"Affilinet fee","Affilinet Gebühr"
"affilinet Introduction","Affilinet Einführung"
"affilinet Registration","Affilinet Anmeldung"
"All","Alle"
"All banners","Alle Banner"
"All channels","Alle Kanäle"
"All HTML links","Alle HTML links"
"All media","Alle Medien"
"All publishers","Alle Publisher"
"All segments","Alle Segmente"
"All text links","Alle text links"
"Amount of paid bonuses","Höhe Bonuszahlungen"
"Appoint the export start time.","Bestimmt die Startzeit des Exports"
"Article number","Artikelnummer"
"Attribute which defines the manufacturer of the product.","Attribute das den Hersteller des Produktes angibt."
"August","August"
"Austria","Österreich"
"Auto action","Aktion der auto. Bearb."
"Auto action in days","Auto. Bearb. in Tagen"
"Back","Zurück"
"Backslash","Backslash"
"Banner","Banner"
"Banners","Banner"
"Basket","Warenkorb"
"BasketId","BasketId"
"Begin at","Start"
"Bonus count","Anzahl Bonuszahlungen"
"Brand","Marke"
"By name","Nach Name"
"By publisher ID","Nach Publisher ID"
"By URL","Nach URL"
"Calendar week","Kalenderwoche"
"Cancellation reason","Stornogrund"
"Cancelled","Storniert"
"Cart IDs","Cart IDs"
"Cart parameters","Warenkorb-Parameter"
"Cart tracking","Warenkorb-Tracking"
"Category","Kategorie"
"Category (category_ids)","Kategorie (category_ids)"
"Category parameters","Kategorie-Parameter"
"Channel","Kanal"
"Checkout parameters","Checkout-Parameter"
"Choose Store View:","Store View wählen"
"Click-Through","Klickrate"
"Click date","Click Datum"
"Clicks","Klicks"
"Clicks (Gross)","Klicks (Brutto)"
"Clicks (Net)","Klicks (Netto)"
"Collection size","Anzahl je Seite/Durchlauf"
"Column title","Spaltentitel"
"Comma separated","Komma getrennt"
"Commission","Vergütungen"
"Company logo","Firmenlogo"
"Concatenation","Verkettung"
"Confirmation","Bestätigung"
"Confirmed","Bestätigt"
"Cron","Cron"
"Cronjob","Cronjob"
"CTR","CTR"
"Currency (currency)","Währung (currency)"
"CW","KW"
"DeepLink (deeplink)","DeepLink (deeplink)"
"Delete","Löschen"
"Delete Field","Feld löschen"
"Delete Filter","Filter löschen"
"Delete Image","Bild löschen"
"Delimiter","Trenner"
"Delimiter after last column","Trenner nach letzter Spalte"
"Disabled","Deaktiviert"
"Doubling","Dopplung"
"Edit date","Datum ändern"
"Edited in this period","Im Abfragezeitraum bearbeitet"
"Enable cart tracking","Warenkorb-Tracking aktivieren"
"Enable retargeting","Retargeting aktivieren"
"Enclosure characters","Umschließende Zeichen"
"Encoding","Zeichensatz"
"Encoding standards. Preferable, the encoding should be UTF-8 but the default value needs to be aligned with the encoding used when generating the feed which is in most cases the encoding of the ecommerce shop system database.","Es wird UTF-8 als Zeichensatz empfohlen, aber sollte dem Verwendeten Zeichsatz für die Datenbank des Shop-Systems angeglichen werden."
"Enter publisher filter string","Filterkriterium eintragen"
"Escape","Escape"
"Escaping character for strings","Escape-Zeichen für Zeichenketten"
"Evaluation method","Auswertungsmethode"
"Feed link","Link zum Feed"
"Feed submission","Feed-Einreichung"
"Feed was successfully sent to Affili.net","Der Feed wurde erfolgreich an affilinet übertragen"
"Field filter","Filter"
"Field mapper","Feld Zuordnung"
"Fieldname","Feldname"
"File is generating. You will be able to download file when it finish","Feed wird erstellt. Sie können die Datei im Anschluss herunterladen."
"File name","Dateiname"
"Filter","Filter"
"Filter active articles","Aktive Artikel filtern"
"Filter active stock","Vorhande Artikel filtern"
"Filter criteria","Filterkriterien"
"Filter criteria for orders","Filterkriterien für Bestellungen"
"Filter criteria for statistics","Filterkriterien für Statistiken"
"Flag","Markierung"
"France","Frankreich"
"From","Von"
"General","Allgemein"
"General delimiter of fields in the feed","Allgemeiner Begrenzer für Felder im Feed."
"Generate File","Erzeuge Datei"
"Generating feed was successfully stopped","Erzeugung des Feeds wurde erfolgreich gestoppt."
"Generating progress","Fortschritt"
"Germany","Deutschland"
"Gross","Brutto"
"Gross Clicks","Brutto Klicks"
"Gross item value (including tax).","Brutto-Warenwert (inkl. MWST.)"
"Hide","Verstecken"
"Hours","Stunden"
"http://www.creativestyle.net/services/magento.html","http://www.creativestyle.net/services/magento.html"
"ID","ID"
"ImgUrl (imgurl)","ImgUrl (imgurl)"
"Individual prices of ordered products","Einzelpreise der bestellten Produkte"
"Individual prices of ordered products separated by pipes |. Gross item value (w/o shipping costs)","Einzelpreise der bestellten Produkte mit |(Pipe) als Trennzeichen zwischen den Preisen. Brutto-Warenwert (ohne Versandkosten)."
"Introduction","Einführung"
"Is in stock (is_in_stock)","Verfügbar (is_in_stock)"
"ISO-8859-1","ISO-8859-1"
"Item was successfully deleted","Eintrag wurde erfolgreich gelöscht."
"Item was successfully saved","Erfolgreich gespeichert"
"July","Juli"
"June","Juni"
"Label for main products or accessory","Kennzeichnung, ob ein Produkt reduziert ist oder nicht. 0 =  nein  regulärer Preis, 1 = reduzierter Preis."
"Label for main products or accessory. 0 = main product, 1 = accessory","Haupt- oder Zubehörprodukt: 0 = Produkt, 1 = Zubehör"
"Label for reduced prices","Kennzeichnung, ob es sich um ein Hauptprodukt oder Zubehör handelt. 0 = Hauptprodukt, 1 = Zubehör."
"Label if a product is reduced or not. 0 = no regular price, 1 = reduced price.","Markierung von Produkten mit reduzierten Preisen: 0 = Standardpreise, 1 = reduzierter Preis"
"Lead Commission (Confirmed)","Lead Vergütung (Bestätigt)"
"Lead Commission (Open)","Lead Vergütung (Offen)"
"Lead Conversion Rate (Confirmed)","Lead Conversion Rate (Bestätigt)"
"Lead Conversion Rate (Open)","Lead Conversion Rate (Offen)"
"Leads","Leads"
"Manufacturer attribute","Hersteller-Attribut"
"Month","Monat"
"n/a","n/a"
"Name","Name"
"Net","Netto"
"Net bonus payments","Höhe Bonuszahlungen"
"Netherlands","Niederlande"
"Net price","Nettopreis"
"New basket data have been submitted to affilinet. It may take up to few minutes until the changes become visible.","Die geänderten Bestelldaten wurden an affilinet übertragen. Es dauert einige Minuten bis die Änderungen sichtbar werden."
"New Magento product datafeed","Neuen Magento Shop Productfeed einrichten"
"No","Nein"
"No records found for these criteria.","Keine passenden Einträge gefunden."
"Number of ordered products separated by pipes |.","Mengen der bestellten Produkte mit | (Pipe) als Trennzeichen zwischen den Mengenangaben."
"Number of pages processed by each cronjob iteration (default: 5).","Anzahl der Produktlisten die bei jedem Durchlauf des Cronjobs bearbeitet werden (Standard: 5)."
"Number of products included in every page (default: 500).","Anzahl der Produkte die in einer Produktliste enthalten sind (Standard: 500)."
"Number of products the user has placed in the shopping cart. Alternatively, several quantities can be listed here separated by pipes |, depending on how the add-to-cart function has been implemented.","Anzahl der Produkte die der User in den Warenkorb gelegt hat.<br/>Alternative werden mehrere Werte, getrennt durch pipes |, aufgelistet, was davon abhängt wie die Funktion zum in den Warenkorb legen implementiert wurde."
"of %s pages","von %s Seiten"
"Only one product variation","Nur eine Produktvariante"
"Open","Offen"
"Order ID","Bestell-Nr."
"Orders","Bestellungen"
"Original price of a product","Ursprünglicher Preis des Produkts, falls der Produktpreis reduziert wurde."
"Original price of a product, if reduced","Ursprünglicher Preis des Produkts, falls der Produktpreis reduziert wurde."
"Overview","Übersicht"
"Page","Seite"
"Pages","Seiten/Durchläufe"
"Payment method","Zahlungsmethode"
"Period","Zeitraum"
"per page","pro Seite"
"Please generate datafeed file first","Bitte lassen Sie erst die Feed Datei erzeugen."
"Please provide your web service username/password in the extension settings page.","Bitte geben Sie Ihren Webservice username/passwort in den Extension Einstellungen ein."
"Please type in the sort of enclosure character for your products.","Bitte umschließendes Zeichen eingeben"
"Position","Position"
"Preffix","Preffix"
"Preview","Vorschau"
"Product Data Feed","Produktdatenfeed"
"Product ID","Produkt-ID"
"Product Name","Produktname"
"Product parameters","Produkt-Parameter"
"Product properties","Produkteigenschaften"
"Product rating","Produktbewertung"
"Product variations should be provided as separate datasets. Especially for retargeting purposes, special product feeds may be generated which holds only one variation of a product in order to avoid multiple similar products in a dynamic product banner which just deviate by color, size or price.","Produktvariationen sollten als eigene Feeds erzeugt werden.<br/>Besonders für Retargeting-Zwecke sollten eigene Feeds generiert werden, die nur eine Produktvariante enthalten, damit mehrere sich ähnelnde Produkte in dynamischen Produkt-Bannern vermieden werden."
"Product variations should be provided as separate datasets. Especially for retargeting purposes, special product feeds may be generated which holds only one variation of a product in order to avoid multiple similar products in a dynamic product banner which just deviate by color.","Produktvariationen sollten als eigene Feeds erzeugt werden.<br/>Besonders für Retargeting-Zwecke sollten eigene Feeds generiert werden, die nur eine Produktvariante enthalten, damit mehrere sich ähnelnde Produkte in dynamischen Produkt-Bannern vermieden werden."
"pSub1","pSub1"
"pSub2","pSub2"
"Publicity","Werbemittel"
"Publisher","Publisher"
"Publisher commission","Publisher Vergütung"
"Publisher filter","Publisher Filter"
"Publisher ID","Publisher-ID"
"Publisher segment","Publisher Segment"
"Publisher volume","Publisher Volumen"
"Q","Q"
"Quantities of ordered products","Anzahl bestellter Produkte"
"Quantity","Anzahl"
"Quantity (qty)","Anzahl (Anz.)"
"Quantity of products added to cart","Anzahl Produkt im Warenkorb"
"Quarter","Quartal"
"Rate","Rate"
"Received on","Empfangen am"
"Registered in this period","Im Abfragezeitraum eingegangen"
"Registration","Anmeldung"
"Repeat every","Intervall"
"Retargeting","Retargeting"
"Retargeting enables you to re-address specifically interested customers. Potential customers, who left your online shop without a purchase","Retargeting ermöglicht es Ihnen potentielle Kunden von denen Sie bereits die Interessen kennen gezielt anzusprechen, falls diese den Shop ohne Kaufabschluss verlassen."
"Sale Commission (Confirmed)","Sale Vergütung (Bestätigt)"
"Sale Commission (Open)","Sale Vergütung (Offen)"
"Sale Conversion Rate (Confirmed)","Sale Conversion Rate (Confirmed)"
"Sale Conversion Rate (Open)","Sale Conversion Rate (Open)"
"Sales","Verkäufe"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Select, if the feed should be activated for cron job batch export.","Auswählen, falls der Feed per Cron-Job exportiert werden soll."
"Select advertising medium","Werbemedium wählen"
"Select reporting period","Report Zeitraum wählen"
"Select the Store whose products shall be included in the feed.","Wählen Sie den Store, dessen Produkte im Feed enthalten sein sollen."
"Send message to the test e-mail","Nachricht an Test-E-Mail Adresse senden"
"Settings","Einstellungen"
"Shipping method","Versandmethode"
"Show","Anzeigen"
"Show orders","Bestellungen anzeigen"
"Show statistics","Statistiken anzeigen"
"Single price","Einzelpreis"
"SKU","SKU"
"Spain","Spanien"
"Start at","Start am"
"Statistics","Statistiken anzeigen"
"Status","Status"
"Stop generating","Erstellung stoppen"
"Store View","Store View"
"Submit the feed to affilinet","Feed an affilinet senden"
"Suffix","Suffix"
"Sum of commissions","Summe der Vergütungen"
"Sum of commissions (Confirmed)","Summe der Vergütungen (Bestätigt)"
"Sum of commissions (Open)","Summe der Vergütungen (Offen)"
"Switzerland","Schweiz"
"Test e-mail","Test E-Mail Adresse"
"Text link","Text-Link"
"Text links","Text-Links"
"The attribute used to uniquely identify the products.","Attribut das zur eindeutigen Unterscheidung der Produkte dient."
"The basket tracking system helps you drill down orders generated through affilinet publishers and analyze the purchases on basket-item level. This information enables you to evaluate the sales performance of your products via affiliate marketing,  while helping publishers to optimize their marketing activities and send better converting traffic.","Das Warenkorb-Tracking hilft Ihnen Bestellungen, die durch affilinet Publisher generiert wurden, bis auf Einzelposten-Level zu analysieren. Diese Informationen ermöglichen es Ihnen die Verkaufsleistung Ihrer Produkte über affiliate Marketing zu bewerten und dabei Publishern zu helfen Ihre marketing Aktivitäten zu verbessern um Besucher mit höherer Kaufwahrscheinlichkeit zu Ihnen zu senden."
"The information in this tab has been changed.","Die Daten auf diesem Tab wurden geändert."
"These properties can also be accessed and analyzed by publishers sending traffic to your website. Thus only relay information you are willing to share.","Diese Werte können von Publishern, die Besucher auf Ihre Seite senden, eingesehen und analysiert werden. Übertragen Sie deshalb nur Informationen die Sie bereit sind zu teilen."
"This affilinet platform signup page is deactivated since you already entered a Program ID in the extension settings.","Sie haben bereits einen Account unter Einstellungen hinterlegt. Eine Voranmeldung ist nicht nötig."
"This extension integrates easily your Magento shop with affilinet services.","Diese Extension integriert die Services von affilinet auf einfache Art mit Ihrem Magento Shop."
"This extension uses the default base currency of the store for all product values that are tracked","Diese Extension nutzt die Standardwährung des Stores für alle Produkte die erfasst werden."
"This helps target users via products with a high rating, for instance. Numeric value: 0 (not rated) to 10 (highest rating)","Ermöglicht das Ansprechen von Nutzern anhand der Produktbewertung: 0 (unbewertet) bis 10 (am höchsten bewertet)"
"This tab contains invalid data. Please solve the problem before saving.","Bitte korrigieren Sie die ungültigen Eingaben."
"Time span","Zeitraum"
"Time span between dates cannot exceed 3 months","Der Zeitraum zwischen zwei Daten darf nicht länger als 3 Monate sein."
"Title","Titel"
"To","An"
"Total %d records found","%d Einträge gefunden"
"Total price","Gesamtpreis"
"Total Revenue (Confirmed)","Gesamtumsatz (Bestätigt)"
"Total Revenue (Open)","Gesamtumsatz (Offen)"
"Track order parameters","Bestellparameter erfassen."
"Track product attributes","Produktattribute erfassen."
"Transaction ID","Transaction ID"
"Transaction IDs","Transaction IDs"
"Transaction status","Transaktionsstatus"
"Type in your affilinet programID. If you don't have an affilinet account so far, you can easily apply for an affilinet account under the tab Registration.","Geben Sie Ihre Programm-ID an. Wenn Sie noch keinen affilinet Account besitzen, können Sie die Anmeldung unter dem Punkt Registrierung starten."
"Unable to find item to save","Zu speichernder Eintrag konnte nicht gefunden werden."
"Unable to send feed","Der Feed konnte nicht an affilinet übertragen werden"
"Unable to stop","Erzeugung des Feeds konnte nicht gestoppt werden."
"Unique product identifier","Eindeutige Produkt-ID"
"United Kingdom","Großbritanien"
"Uploads are scaled proportionally to a size of 120 x 40 Pixels.","Hochgeladene Bilder werden proportional auf eine Größe von max. 120 x 40 Pixel skaliert."
"URL","URL"
"URL of category image","URL des Kategoriebildes"
"URL of category image (URL encoded)","URL des Kategoriebilds (URL-Enkodiert)"
"UTF-8","UTF-8"
"View","Anzeigen"
"Views","Einblendungen"
"Visible for the advertiser only","Nur für den Advertiser sichtbar"
"Visit <a href=""%s"" target=""_blank"">%s</a> to get more information.","Besuchen Sie <a href=""%s"" target=""_blank"">%s</a> für mehr Informationen."
"Webservice Password","Webservice Password"
"Webservice Username","Webservice Username"
"Week","Woche"
"Which of the following parameters shall be relayed to affilinet?","Welche der folgenden Parameter sollen an affilinet übertragen werden."
"Yes","Ja"
"You can retrieve your web service user name from the affilinet login area. Simply log in using the following URL: https://advertiser.affili.net/Login.aspx and navigate to the section Account -> Account Data. You will find your web service access below your contact data. Your web service password will be sent to the submitted email address.","Ihren Web-Service Benutzernamen k&ouml;nnen Sie im Affili.net Loginbereich generieren.<br/> Hierzu loggen Sie sich bitte unter folgender URL ein: <a target=""_blank"" href=""https://advertiser.affili.net/Login.aspx"">https://advertiser.affili.net/Login.aspx</a><br/>und rufen dann den Men&uuml;punkt Konto -> Account-Daten auf. Unterhalb Ihrer dort aufgef&uuml;hrten Kontaktdaten k&ouml;nnen Sie einen neuen Webservice-Zugang anlegen.<br/>Ihr Webservice-Kennwort wird Ihnen im Anschluss an die in den Kontaktdaten aufgef&uuml;hrte E-Mail Adresse geschickt."
