"# of bonus payments","# bonusbetalingen"
"# of Leads","# leads"
"# of Leads (Cancelled)","# leads (Geannuleerd)"
"# of Leads (Confirmed)","# leads (Goedgekeurd)"
"# of Leads (Open)","# leads (Open)"
"# of Sales","# sales"
"# of Sales (Cancelled)","# sales (Geannuleerd)"
"# of Sales (Confirmed)","# sales (Goedgekeurd)"
"# of Sales (Open)","# sales (Open)"
"-- Please Select --","-- Selecteer --"
"<div id=""creative-system-config"">creativestyle Extensions</div>","<div id=""creative-system-config"">creativestyle Extensions</div>"
"Action","Actie"
"Activate/deactivate column titles in the feed","Activeer/deactiveer de kolom titels in de feed"
"Activate the export of products only for active products","Activeer export - actieve producten"
"Activate the export of products only for products which can be ordered.","Activeer export - voorradige producten"
"Active","Actief"
"Add New","Voeg toe"
"Add new","Voeg toe"
"Advertising medium","Advertentie medium"
"affilinet","affilinet"
"Affilinet fee","affilinet vergoeding"
"affilinet Introduction","affilinet Introductie"
"affilinet Registration","affilinet Registratie"
"All","Alle"
"All banners","Alle banners"
"All channels","Alle kanalen"
"All HTML links","Alle HTML links"
"All media","Alle media"
"All publishers","Alle publishers"
"All segments","Alle segmenten"
"All text links","Alle tekstlinks"
"Amount of paid bonuses","Totaal uitgekeerde bonussen"
"Appoint the export start time.","Starttijd export"
"Article number","Artikelnummer"
"Attribute which defines the manufacturer of the product.","Kies de fabrikant"
"August","Augustus"
"Austria","Oostenrijk"
"Auto action","Automatische actie"
"Auto action in days","Automatische actie in dagen"
"Back","Terug"
"Backslash","Backspace"
"Banner","Banner"
"Banners","Banners"
"Basket","Basket"
"BasketId","BasketID"
"Begin at","Begin"
"Bonus count","Bonus"
"Brand","Merk"
"By name","Naam"
"By publisher ID","Publisher ID"
"By URL","URL"
"Calendar week","Kalenderweek"
"Cancellation reason","Reden van annulering"
"Cancelled","Geannuleerd"
"Cart IDs","Cart IDs"
"Cart parameters","Cart parameters"
"Cart tracking","Cart tracking"
"Category","Category"
"Category (category_ids)","Category (category_ids)"
"Category parameters","Category parameters"
"Channel","Channel"
"Checkout parameters","Checkout parameters"
"Choose Store View:","Kies Store View:"
"Click-Through","Click-through"
"Click date","Click datum"
"Clicks","Clicks"
"Clicks (Gross)","Clicks (Bruto)"
"Clicks (Net)","Clicks (Netto)"
"Collection size","Collectie grootte"
"Column title","Kolom titels"
"Comma separated","Gescheiden door komma"
"Commission","Commissie"
"Company logo","Bedrijfslogo"
"Concatenation","Aaneenschakeling"
"Confirmation","Bevestiging"
"Confirmed","Bevestigd"
"Cron","Cron"
"Cronjob","Cronjob"
"CTR","CTR"
"Currency (currency)","Valuta"
"CW","CW"
"DeepLink (deeplink)","DeepLink (deeplink)"
"Delete","Verwijderen"
"Delete Field","Verwijder Veld"
"Delete Filter","Verwijder Filter"
"Delete Image","Verwijder Afbeelding"
"Delimiter","Scheidingsteken"
"Delimiter after last column","Scheidingsteken achter de laatste kolom"
"Disabled","Uitgezet"
"Doubling","Doubling"
"Edit date","Laatst bijgewerkt"
"Edited in this period","Bijgewerkt in deze periode"
"Enable cart tracking","Cart tracking toestaan"
"Enable retargeting","Retargeting toestaan"
"Enable tracking","Tracking activeren"
"Enclosure characters","Enclosure karakters"
"Encoding","Codering"
"Encoding standards. Preferable, the encoding should be UTF-8 but the default value needs to be aligned with the encoding used when generating the feed which is in most cases the encoding of the ecommerce shop system database.","Codering normen. UTF-8, of de default codering waarmee de feed is aangemaakt. (doorgaans shop system default)"
"Enter publisher filter string","Publisher filter string"
"Escape","Escape"
"Escaping character for strings","Escaping character for strings"
"Evaluation method","Evaluatiemethode"
"Feed link","Feed link"
"Feed submission","Verzend feed"
"Feed was successfully sent to Affili.net","Feed is succesvol verstuurd naar affilinet"
"Field filter","Field filter"
"Field mapper","Field mapper"
"Fieldname","Fieldname"
"File is generating. You will be able to download file when it finish","Moment geduld, feed wordt gegeneerd. "
"File name","Bestandsnaam"
"Filter","Filter"
"Filter active articles","Filter actieve artikelen"
"Filter active stock","Filter actieve voorraad"
"Filter criteria","Filter criteria"
"Filter criteria for orders","Filter criteria voor orders"
"Filter criteria for statistics","Filter criteria voor statistieken"
"Flag","Vlag"
"France","Frankrijk"
"From","Van"
"General","Algemeen"
"General delimiter of fields in the feed","Algemeen scheidingsteken van velden in de feed"
"Generate File","Creëer bestand"
"Generating feed was successfully stopped","Creëeren van de feed is gestopt"
"Generating progress","Voortgang feedcreatie"
"Germany","Duitsland"
"Gross","Bruto"
"Gross Clicks","Bruto Clicks"
"Gross item value (including tax).","Bruto productwaarde (inclusief BTW)."
"Hide","Verbergen"
"Hours","Uren"
"http://www.creativestyle.net/services/magento.html","http://www.creativestyle.net/services/magento.html"
"ID","ID"
"ImgUrl (imgurl)","ImgUrl (imgurl)"
"Individual prices of ordered products","Orderwaarde"
"Individual prices of ordered products separated by pipes |. Gross item value (w/o shipping costs)","Orderwaarde gescheiden door kolommen. Bruto orderwaarde zonder verzendkosten"
"Introduction","Introductie"
"Is in stock (is_in_stock)","Op voorraad (is_voorradig)"
"ISO-8859-1","ISO-8859-1"
"Item was successfully deleted","Product verwijderd"
"Item was successfully saved","Product opgeslagen"
"July","Juli"
"June","Juni"
"Label for main products or accessory","Label van de belangrijkste producten of accessoires"
"Label for main products or accessory. 0 = main product, 1 = accessory","Label van de belangrijkste producten of accessoires 0=belangrijkste product 1=accessoires"
"Label for reduced prices","Label van actieprijs"
"Label if a product is reduced or not. 0 = no regular price, 1 = reduced price.","Label actieprijs 0= gewone prijs 1= actieprijs"
"Lead Commission (Confirmed)","Lead Commissie (Goedgekeurd)"
"Lead Commission (Open)","Lead Commissie (Open)"
"Lead Conversion Rate (Confirmed)","Lead Vergoeding (Goedgekeurd)"
"Lead Conversion Rate (Open)","Lead Vergoeding (Open)"
"Leads","Leads"
"Manufacturer attribute","Toevoeging Fabrikant "
"Month","Maand"
"n/a","Naam"
"Name","Naam"
"Net","Netto"
"Net bonus payments","Netto bonus betaling"
"Netherlands","Nederland"
"Net price","Netto prijs"
"New basket data have been submitted to affilinet. It may take up to few minutes until the changes become visible.","Basket data verzonden. "
"New Magento product datafeed","New Magento product datafeed"
"No","Nee"
"No records found for these criteria.","Geen resultaten gevonden voor deze criteria"
"Number of ordered products separated by pipes |.","Aantal bestelde producten gescheiden door kolommen |."
"Number of pages processed by each cronjob iteration (default: 5).","Aantal verwerkte pagina´s door elke cronjob herhaling (default: 5)."
"Number of products included in every page (default: 500).","Aantal producten verwerkt in elke pagina (default: 500)."
"Number of products the user has placed in the shopping cart. Alternatively, several quantities can be listed here separated by pipes |, depending on how the add-to-cart function has been implemented.","Aantal producten in winkelwagen"
"of %s pages","van %s paginas"
"Only one product variation","Alleen één product variatie"
"Open","Open"
"Order ID","Order ID"
"Orders","Orders"
"Original price of a product","Originele prijs van het product"
"Original price of a product, if reduced","Originele prijs van het product, als deze is afgeprijsd"
"Overview","Overview"
"Page","Pagina"
"Pages","Pagina´s"
"Payment method","Betaal mogelijkheid"
"Period","Periode"
"per page","per pagina"
"Please generate datafeed file first","Genereer eerst een datafeed bestand"
"Please provide your web service username/password in the extension settings page.","Voer eerst uw webservice gebruikersnaam/wachtwoord in op de configuratie pagina"
"Please type in the sort of enclosure character for your products.","Voer het enclosure character in."
"Position","Positie"
"Preffix","Preffix"
"Preview","Preview"
"Product Data Feed","Product Data Feed"
"Product ID","Product ID"
"Product Name","Product Naam"
"Product parameters","Product parameters"
"Product properties","Product eigenschappen"
"Product rating","Product waardering"
"Product variations should be provided as separate datasets. Especially for retargeting purposes, special product feeds may be generated which holds only one variation of a product in order to avoid multiple similar products in a dynamic product banner whi","Product variaties moeten worden aangeleverd als aparte datasets. We raden aan speciale productfeeds aan te maken, om te vermijden dat meerdere dezelfde producten worden getoond in bijvoorbeeld productbanners, die dan alleen afwijken qua kleur, afmeting of"
"Product variations should be provided as separate datasets. Especially for retargeting purposes, special product feeds may be generated which holds only one variation of a product in order to avoid multiple similar products in a dynamic product banner whi","Product variaties moeten worden aangeleverd als aparte datasets. We raden aan speciale productfeeds aan te maken, om te vermijden dat meerdere dezelfde producten worden getoond in bijvoorbeeld productbanners, die dan alleen afwijken qua kleur."
"pSub1","pSub1"
"pSub2","pSub2"
"Publicity","Publiciteit"
"Publisher","Publisher"
"Publisher commission","Publisher commissie"
"Publisher filter","Publisher filter"
"Publisher ID","Publisher ID"
"Publisher segment","Publisher segment"
"Publisher volume","Publisher volume"
"Q","Q"
"Quantities of ordered products","Hoeveelheid bestelde producten"
"Quantity","Hoeveelheid"
"Quantity (qty)","Hoeveelheid (qty)"
"Quantity of products added to cart","Hoeveelheid producten toegvoegd aan winkelwagen"
"Quarter","Kwartaal"
"Rate","Vergoeding"
"Rate for publisher commission","Overzicht van vergoedingen"
"Received on","Ontvangen op"
"Registered in this period","Geregistreerd in deze periode"
"Registration","Registratie"
"Repeat every","Herhaal elke"
"Retargeting","Retargeting"
"Retargeting enables you to re-address specifically interested customers. Potential customers, who left your online shop without a purchase","Retargeting maakt het mogelijk om geïnteresseerde klanten die uw webshop hebben verlaten zonder aankoop opnieuw te benaderen."
"Sale Commission (Confirmed)","Sale Commissie (Goedgekeurd)"
"Sale Commission (Open)","Sale Commissie (Open)"
"Sale Conversion Rate (Confirmed)","Sale vergoeding (Goedgekeurd)"
"Sale Conversion Rate (Open)","Sale vergoeding (Open)"
"Sales","Sales"
"Save and Continue Edit","Opslaan en verdergaan met bewerken"
"Select, if the feed should be activated for cron job batch export.","Selecteer, als de feed geactiveerd moet zijn voor cronjob batch exports. "
"Select advertising medium","Selecteer advertentie medium"
"Select reporting period","Selecteer rapportage periode"
"Select the Store whose products shall be included in the feed.","Selecteer de winkel waarvan de producten moeten worden opgenomen in de feed"
"Send message to the test e-mail","Stuur bericht naar test e-mail adres"
"Settings","Instellingen"
"Shipping method","Verzendwijze"
"Show","Toon"
"Show orders","Toon orders"
"Show statistics","Toon statistieken"
"Single price","Sinlge price"
"SKU","SKU"
"Spain","Spanje"
"Start at","Begin "
"Statistics","Statistieken"
"Status","Status"
"Stop generating","Stoppen"
"Store View","Store View"
"Submit the feed to affilinet","Verstuur de feed naar affilinet"
"Suffix","Suffix"
"Sum of commissions","Totaal Commissie"
"Sum of commissions (Confirmed)","Totaal Commissie (Goedgekeurd)"
"Sum of commissions (Open)","Totaal Commissie (Open)"
"Switzerland","Zwitserland"
"Test e-mail","Test e-mail"
"Text link","Tekstlink"
"Text links","Tekstlinks"
"The attribute used to uniquely identify the products.","Het kenmerk dat is gebruikt om op een unieke wijze het product te identificeren"
"The basket tracking system helps you drill down orders generated through affilinet publishers and analyze the purchases on basket-item level. This information enables you to evaluate the sales performance of your products via affiliate marketing,  while h","Basket tracking helpt u om de aankopen te analyseren op winkelwagen-niveau. Deze informatie geeft u de mogelijkheid om de salesresultaten die u ontvangt via affiliate marketing te analyseren, terwijl u publishers helpt om hun marketing activiteiten te opt"
"The directory is missing and the script has been unable to create it. Please create it manually. Path %s","De directory ontbreekt en kon niet aangemaakt worden door script. Maak handmatig een directory. Path %s"
"The information in this tab has been changed.","De informatie in dit tabblad is veranderd."
"These properties can also be accessed and analyzed by publishers sending traffic to your website. Thus only relay information you are willing to share.","Deze gegevens kunnen worden bekeken en geanalyseerd door publishers die traffic naar u website sturen. Stuur daarom alleen informatie terug die u wil delen."
"This affilinet platform signup page is deactivated since you already entered a Program ID in the extension settings.","Deze affilinet inlogpagina is gedeactiveerd , omdat u al een programma ID heeft ingevoerd in de uitgebreide instellingen."
"This extension integrates easily your Magento shop with affilinet services.","Deze extensie integreert makkelijk uw Magento winkel met diensten van affilinet"
"This extension uses the default base currency of the store for all product values that are tracked","Deze extensie gebruikt automatisch de valuta van de winkel als basis voor alle tracking."
"This helps target users via products with a high rating, for instance. Numeric value: 0 (not rated) to 10 (highest rating)","Productwaardering. Waardering: 0 ( Niet beoordeeld) tot 10 ( hoogste waardering)"
"This tab contains invalid data. Please solve the problem before saving.","Dit tabblad bevat ongeldige data. Los het probleem op voor u verder gaat."
"Time span","Tijdsduur"
"Time span between dates cannot exceed 3 months","Tijdsduur tussen data mag niet meer dan 3 maanden bedragen"
"Title","Titel"
"To","Naar"
"Total %d records found","Totaal %d gevonden boekingen"
"Total price","Totale prijs"
"Total Revenue (Confirmed)","Totale revenue (Goedgekeurd)"
"Total Revenue (Open)","Totale revenue (Open)"
"Track order parameters","Track order parameters"
"Track product attributes","Track product attributen"
"Tracking","Tracking"
"Tracking is the basis of affiliate marketing, enabling you to register your orders which have been generated by affilinet publishers. You can either select to have, standard or basket tracking. With standard tracking transactions are generated without single basket items. The basket tracking system helps you drill down orders and analyze the purchases on basket-item-level. This information enables you to evaluate the sales performance of your products via affiliate marketing.","Tracking is de basis voor affiliate marketing. Op deze manier worden alle orders van affilinet publishers gemeten. U kunt kiezen tussen standaard en basket tracking. Met basket tracking worden ook de producten in de winkelmand gemeten. Het basket tracking systeem helpt u om orders specifiek te bekijken op productniveau. Deze informatie maakt het mogelijk voor u om de sales performance via affiliate marketing te evalueren."
"Transaction ID","Transactie ID"
"Transaction IDs","Transactie IDs"
"Transaction status","Transactie status"
"Type in your affilinet programID. If you don't have an affilinet account so far, you can easily apply for an affilinet account under the tab Registration.","Voer affilinet programma ID in. Als u nog geen affilinet account heeft,  kan u zich gemakkelijk aanmelden via het tabblad registratie."
"Unable to find item to save","Product niet gevonden"
"Unable to send feed","Feed niet verzonden"
"Unable to stop","Actie niet gestopt"
"Unique product identifier","Unique product identifier"
"United Kingdom","Verenigd Koninkrijk"
"Uploads are scaled proportionally to a size of 120 x 40 Pixels.","Uploads zijn in verhouding geschaald naar een afmeting van 120 x 40 pixels"
"URL","URL"
"URL of category image","URL van categorie afbeelding"
"URL of category image (URL encoded)","URL van categorie afbeelding (URL gecodeerd)"
"UTF-8","UTF-8"
"View","View"
"Views","Views"
"Visible for the advertiser only","Voor de adverteerder alleen zichtbaar"
"Visit <a href=""%s"" target=""_blank"">%s</a> to get more information.","Meer informatie: <a href=""%s"" target=""_blank"">%s</a>"
"Webservice Password","Webservice Wachtwoord"
"Webservice Username","Webservice Gebruikersnaam"
"Week","Week"
"Which of the following parameters shall be relayed to affilinet?","Welke van de volgende parameters moeten worden teruggegeven aan affilinet?"
"Yes","Ja"
"You can retrieve your web service user name from the affilinet login area. Simply log in using the following URL: https://advertiser.affili.net/Login.aspx and navigate to the section Account -> Account Data. You will find your web service access below you","Uw webservice gebruikersnaam haalt u uit de affilinet portal. Log in door de volgende URL te gebruiken: https://advertiser.affili.net/Login.aspx en navigeer naar de sectie Account -> Account Data. U vindt uw webservice toegang onder de contact data. Uw we"
